embryo_id,latent_status,coverage,reference_coverage,baseline_shift,embryo_scale
sim_0001,abnormal,11.708345867638574,10,0.039930100926919385,1.089937599400568
sim_0002,abnormal,10.350035257404642,10,0.109192255204585,1.098781296223374
sim_0003,normal,11.24028881686215,10,0.04157364192944249,0.7804881351941679
sim_0004,normal,9.68864717024499,10,-0.06684799905776233,1.0226232644174003
sim_0005,abnormal,9.404440071475085,10,-0.14177420637216398,1.0787543147039285
sim_0006,normal,5.770926370910386,10,0.02663187871516358,0.9744953939963832
sim_0007,abnormal,15.28149550879686,10,-0.06760573193513408,1.092220876265438
sim_0008,ambiguous,16.6575488009585,10,0.029967696246678388,0.8383103324620217
sim_0009,normal,13.536117863884405,10,0.03131278677173706,0.9283873208369937
sim_0010,abnormal,12.293141548143472,10,-0.10852670186885612,1.558681863650168
sim_0011,normal,10.294113351044393,10,-0.03548976524331148,1.1497266026684734
sim_0012,abnormal,8.682377687841504,10,-0.09309433538334744,0.9950598549045988
sim_0013,normal,10.701750901018615,10,0.19270043296497896,1.237744150960749
sim_0014,ambiguous,8.239874846487577,10,0.09640636516296835,1.0662166401150432
sim_0015,normal,12.791713928019798,10,-0.023118083224025428,1.087805852143472
sim_0016,abnormal,11.493356219359233,10,0.1357081727111957,1.4314430687652033
sim_0017,abnormal,10.035080816344989,10,0.07611508201127266,0.7467749948675828
sim_0018,normal,9.144447837895243,10,-0.015357011305671004,1.1573044417278884
sim_0019,normal,11.114102721625379,10,-0.031240735078837473,0.7935046066000241
sim_0020,normal,12.882109926703096,10,-0.08482470713442182,0.7617454249316715
sim_0021,normal,16.410061402842516,10,0.04347858328088544,0.7288309818504051
sim_0022,normal,6.183610140151922,10,-0.029408804342735736,0.9475013917201959
sim_0023,normal,8.107124706031943,10,0.02608428922185744,0.8983185745873303
sim_0024,normal,18.194871271138133,10,0.11153476837591808,1.2022028257011945
sim_0025,abnormal,9.442369526368575,10,0.11262660849155869,1.2517913472528557
sim_0026,normal,17.534942373012246,10,0.019161309679704863,0.8478838014666475
sim_0027,abnormal,7.5613438237577,10,5.022561229253343e-4,0.9830837197431896
sim_0028,normal,15.115430055977617,10,0.1493751206585099,0.5968322753415083
sim_0029,normal,7.401840252243542,10,-0.0647690400198363,0.8242124391168228
sim_0030,abnormal,7.375566461723126,10,-0.19636457645356997,1.3475353119187863
sim_0031,ambiguous,11.08995441448267,10,-0.056904051435131026,1.0716312241379113
sim_0032,normal,9.082884533252942,10,-0.15154424649308898,0.9724864632859901
sim_0033,ambiguous,6.775084453667865,10,-0.04600938029348514,0.9037531613340631
sim_0034,normal,6.789965942486477,10,0.013268121450045712,0.8371814852637142
sim_0035,abnormal,11.13836103265894,10,0.12170361781491178,0.8807514736159937
sim_0036,abnormal,6.838677194082952,10,0.019643038425516103,1.1234455740174563
sim_0037,normal,14.274559449412653,10,0.038571331704103845,1.059025496096602
sim_0038,abnormal,15.728573003750904,10,0.11236531958019264,1.4806173278958383
sim_0039,ambiguous,6.554552756452004,10,-0.07065143437991424,0.9905469984875219
sim_0040,abnormal,5.4199970738126035,10,0.10837026695013066,1.0867594667831493
sim_0041,abnormal,4.637871115500112,10,0.006953873270695406,0.8848128980339874
